stop_id	name	latitude	longitude
node/10588802326	1er Carrefour	5.374100	-4.077729
node/10589324382	China mall	5.332261	-4.062192
node/10589324383	Collège les Phalènes	5.329976	-4.061574
node/10589324384	Collège Saint Augustin	5.323342	-4.056065
node/10591673049	Notre Dame	5.303945	-4.004028
node/10591673050	Avenue 16	5.306030	-4.004726
node/10591673051	Nanan Yamousso	5.308844	-4.005711
node/10593632402	Carrefour Palmeraie	5.360882	-3.959006
node/10593632403	Chic Shop	5.359016	-3.962662
node/10595017053	Marché Saint Pierre / Pont de Sideci	5.324084	-4.084877
node/10595017054	Carrefour Mandjo	5.324053	-4.083100
node/10595025284	Mairie de Yopougon - Annexe de Niangon	5.326837	-4.092111
node/10595025285	Bracodi	5.327143	-4.092753
node/10595025287	Carrefour Marché	5.327833	-4.098180
node/10595025288	Ancien terminus	5.328439	-4.100771
node/10595917523	Pharmacie Paloma	5.355916	-4.068478
node/10595935676	Carrefour Express	5.329525	-4.075497
node/10595935677	Après le pont	5.336392	-4.073371
node/10596176717	Petro Ivoire	5.324091	-4.087373
node/10596176718	Garage	5.324080	-4.085729
node/10600797393	Cap Nord	5.356373	-3.967867
node/10602635517	Carrefour Lycée	5.355425	-4.081346
node/10602635518	Carrefour Port Boët II	5.355218	-4.087500
node/10602792730	Station Shell du CHU	5.355932	-4.091121
node/10602792731	Cité Mamie Adjoua	5.357557	-4.093164
node/10602792732	Portail	5.358103	-4.093926
node/10602792733	Pharmacie Mamy Adjoa	5.358471	-4.095342
node/10602792734	Gesco Rond-Point	5.358470	-4.099447
node/10608601646	Pharmacie du Marché	5.356639	-3.882802
node/10608601647	Nouveau Chantier	5.364855	-3.908630
node/10608601650	Boulangerie Francaise	5.372055	-3.930929
node/10608601652	Premier Etage	5.368740	-3.942603
node/10608601653	Garage CFA	5.366093	-3.947683
node/10608601656	Petit Carrefour	5.363483	-3.954594
node/10608601657	La case Ivoire	5.355310	-3.971206
node/10614605022	Anani - Rond-point	5.237138	-3.873751
node/10614654297	Aichi	5.293082	-3.975854
node/10614654298	Univers des Meubles	5.290921	-3.971989
node/10614654299	Akwaba - Station Total	5.268807	-3.961693
node/10614800242	Aichi	5.293111	-3.976327
node/10614800243	ex Hôtel Vigie	5.246512	-3.941244
node/10614916028	Gare 504 et Mini car de Grand-bassam	5.206593	-3.734945
node/10649796298	Solibra	5.302040	-3.994189
node/10833774190	Pont Vagabond	5.339526	-4.079533
node/10833774191	Église Evangelique	5.339531	-4.081771
node/10833774192	Carrefour Terminus 47	5.339397	-4.083757
node/10833774193	Pharmacie Tereza	5.336706	-4.083704
node/10833774194	Poubelle	5.335434	-4.085952
node/10833774195	Bon Prix	5.335448	-4.089439
node/10833774196	Carrefour Policiers	5.334108	-4.090781
node/10833774197	Station Shell	5.330856	-4.090739
node/10833774198	Carrefour Menuiserie	5.329079	-4.090781
node/10833774199	Lubafrique	5.329784	-4.103976
node/10833774200	Brouette	5.329104	-4.104438
node/10833774201	Station First Petroleum	5.328166	-4.104813
node/10833774202	Panneau	5.326554	-4.105493
node/10833774203	Saint Chamel	5.325446	-4.105960
node/10833795516	SODEFOR	5.349020	-3.998818
node/10834214738	Frat-Mat	5.344738	-4.018204
node/10836730163	Au Banco	5.361394	-4.042175
node/10844232134	Piscine Etat	5.308162	-3.999504
node/10855579565	Avenue 8	5.309450	-4.005943
node/10855886533	Carrefour Policier	5.358828	-4.045375
node/10855886534	Complexe sportif d'Attecoubé	5.358293	-4.049168
node/10855886536	SANgel Yopougon	5.356614	-4.065691
node/10855955005	Carrefour Palmeraie	5.361082	-3.959151
node/10855955006	Carrefour Cocody	5.349263	-3.997007
node/10855955007	GSPM	5.341325	-4.019772
node/10856099233	Pharmacie de la Riviera 3	5.348754	-3.953598
node/10856099234	Station Corlay	5.354730	-3.960127
node/10861156458	Grand Carrefour	5.365793	-4.097612
node/10863718707	Adjamé Liberté	5.353393	-4.015124
node/10863748340	Gare de Bassam	5.299590	-4.002476
node/10863748341	Arras 2	5.301240	-4.003080
node/10866049930	Marché	5.363792	-4.097409
node/10870264385	Eglise Universel	5.355684	-4.020185
node/10870880392	Pharmacie les phalènes	5.323444	-4.087772
node/10870880393	Timotel	5.322061	-4.087784
node/3992199166	Grand Carrefour de Marcory	5.300599	-3.989288
node/6899034707	Notre-dame	5.303315	-4.003799
node/6899034708	Pharmacie Nanan Yamousso	5.307249	-4.005186
node/6899034709	Descente du Pont	5.309958	-4.006141
node/6899034710	Adjamé Liberté - 220 logements	5.353412	-4.016060
node/6899241573	Abobo Gare Mairie	5.420007	-4.017438
node/6899241574	Mobil	5.414375	-4.015982
node/6899241575	Préfecture de police d'Abidjan	5.385306	-4.021249
node/6899241576	Ancien Garage	5.380140	-4.024003
node/6899241577	Adjamé Liberté	5.354346	-4.016400
node/6903347574	Cocody Riviera M'badon	5.328654	-3.932449
node/6903347575	Nouveau marché	5.329342	-3.933227
node/6903347576	Ancien Marché	5.329969	-3.933995
node/6903347577	La ferme	5.331054	-3.935320
node/6903347579	Pharmacie Bonne Fortune	5.335415	-3.939371
node/6903347580	2 poteaux	5.338416	-3.942741
node/6903347581	Carrefour Antenne	5.339948	-3.945032
node/6903347582	Carrefour Akouédo / Synacassi 2	5.345935	-3.945702
node/6903347583	École	5.346135	-3.947157
node/6903347584	2ème rond-point	5.345804	-3.950540
node/6903525051	Hôtel du centre	5.433734	-4.027029
node/6903525052	À la Pompe	5.437461	-4.034220
node/6903525053	Dépôt 9	5.437718	-4.036062
node/6903525054	Anokoi	5.439070	-4.044477
node/6903525056	Marahoué	5.442240	-4.047856
node/6903544087	Maternité Thérese	5.348091	-4.017914
node/6903602213	Abobo Gare	5.422042	-4.018492
node/6903602214	Abobo Gendarmerie	5.426046	-4.020434
node/6903602215	Gendarmerie Avant le Feu	5.426524	-4.020838
node/6903602217	Solibra	5.433024	-4.026393
node/6903602218	Château	5.435752	-4.029070
node/6903602219	Marché de Nuit	5.436386	-4.030200
node/6903968407	Pharmacie Saint Bernard	5.367356	-3.979693
node/6903968408	Carrefour Garage	5.365578	-3.979450
node/6908914486	Boulangerie Opera	5.349206	-4.017102
node/6952132231	Maquis 5 sur 5	5.247536	-3.947572
node/7051811086	Station Total Riviera 2	5.352985	-3.978897
node/7051811087	Vallon	5.354460	-3.990908
node/7051811088	Escalier	5.354734	-4.004384
node/7051811090	Adjamé Liberté	5.353361	-4.014623
node/7051905162	Carrefour CHU	5.349403	-3.991248
node/7052162359	Carrefour Saint Michel	5.345289	-4.022648
node/7052162371	Carrefour Bangui	5.357195	-3.884484
node/7052162372	Pharmacie Principale de Bingerville	5.357439	-3.887969
node/7052162373	Carrefour Faya	5.369984	-3.938731
node/7052162375	Gare en haut	5.350286	-4.022453
node/7052340411	Bon Pasteur	5.351238	-3.954505
node/7052340412	Cap Nord	5.356734	-3.967020
node/7052340415	Gare en haut	5.350321	-4.022635
node/7052366501	Adjamé Liberté	5.353534	-4.014577
node/7052366504	Institut des aveugles	5.351928	-4.063390
node/7052366506	Carrefour Bicici	5.338151	-4.062261
node/7052366507	Nouveau bureau	5.334281	-4.062215
node/7052994966	Pharmacie	5.353665	-3.940930
node/7052994967	Carrefour Akouédo village	5.355419	-3.940774
node/7052994968	Carrefour Village	5.360399	-3.939988
node/7052994969	Nouveau pont	5.358851	-3.942001
node/7052994970	Devant le camp	5.357496	-3.946483
node/7052994971	Da Carmen	5.358411	-3.950090
node/7054593049	Grand Carrefour de Treichville	5.298719	-4.001466
node/7054593050	Feux Collège Autoroute	5.299899	-3.998254
node/7054593051	Solibra	5.300483	-3.996460
node/7054593053	Cap Sud / Orca Deco	5.298533	-3.985672
node/7054593054	Echangeur Marcory	5.296007	-3.981175
node/7054593055	Hotel Ibis Marcory	5.292125	-3.974137
node/7054593056	Grand Carrefour de Koumassi	5.286310	-3.970074
node/7054593057	Carrefour Camp commando de Koumassi	5.282164	-3.969121
node/7054593058	Ancien Koumassi	5.276079	-3.966028
node/7054593059	Carrefour Mosquée	5.259306	-3.958447
node/7054593060	43ème Bima	5.256517	-3.957339
node/7054593061	Port-Bouët Phare	5.251145	-3.955322
node/7054593062	Carrefour Aéroport	5.247052	-3.944649
node/7054593063	Mosquée Sylla	5.241820	-3.911869
node/7054593064	Casier	5.242513	-3.916118
node/7054593065	Jean folly	5.241278	-3.908483
node/7054593066	Corridor	5.239452	-3.896827
node/7054593076	Grand Carrefour de Koumassi - Avant le feu	5.288764	-3.970930
node/7054593077	Grand Carrefour de Marcory	5.299996	-3.988818
node/7054787049	Siporex après le feu	5.354716	-4.074167
node/7054787051	Kouté Terminus 40	5.330849	-4.074128
node/7054787052	Saguidiba	5.332447	-4.073444
node/7054787053	Pharmacie de l'Antenne	5.333975	-4.073448
node/7054787055	16ème	5.338335	-4.073382
node/7054787056	Score	5.340018	-4.073411
node/7054787057	Saint André	5.343187	-4.073427
node/7054787058	Station OLA	5.346183	-4.073402
node/7054787059	Keneya	5.346814	-4.073378
node/7054787060	La Poste	5.352341	-4.074014
node/7054787064	Pont Ferrail	5.364297	-4.030633
node/7054787065	Mirador	5.357048	-4.025746
node/7054787067	Renault-Mirador	5.356714	-4.024393
node/7054787074	Siporex au feux	5.355329	-4.074000
node/7054787076	Saint André	5.343383	-4.073248
node/7054917910	Terminus 27 Niangon Sud à Gauche	5.316118	-4.090074
node/7054917911	Collège Gloris	5.317394	-4.088604
node/7054917912	Carrefour Depôt	5.320018	-4.088719
node/7054917913	Carrefour Timotel	5.321131	-4.088258
node/7054917914	Akadjoba	5.324418	-4.080462
node/7054917915	Cosmos Yopougon	5.348765	-4.073424
node/7054917916	Carrefour Gabriel Gare	5.355859	-4.071510
node/7054917917	Sable	5.356058	-4.067013
node/7054917918	1er Pont	5.360394	-4.066908
node/7054917919	Adjamé Renault	5.355866	-4.020917
node/7054917922	Figayo	5.350156	-4.073235
node/7054917923	Keneya	5.346551	-4.073252
node/7054917924	Ancien Lavage	5.341019	-4.073227
node/7054999103	SICOMEX Marcory	5.292440	-3.975205
node/7054999104	Echangeur Marcory	5.296287	-3.982020
node/7054999105	Siège de Orange Côte d'Ivoire	5.297859	-3.984924
node/7054999106	Cap Sud	5.298892	-3.986762
node/7055147057	Yopougon Palais	5.326169	-4.077176
node/7055147058	Figayo	5.351025	-4.073493
node/7055147059	Siporex	5.355766	-4.073567
node/7055147060	Bracodi	5.360546	-4.027638
node/7055147061	Adjamé Texaco	5.354132	-4.017826
node/7055596703	Bel Air	5.346558	-4.063278
node/7055596704	Carrefour sapeur-pompier	5.328692	-4.060968
node/7055596705	Carrefour Gandhi	5.323801	-4.059553
node/7055717196	Carrefour Académie	5.323816	-4.106672
node/7056202789	Riviera 2	5.353759	-3.977809
node/7056202790	Pharmacie Saint Ange	5.357032	-3.978512
node/7056202791	Hôtel Manhatan	5.361908	-3.978869
node/7056202792	Église Saint Bernard	5.369741	-3.980943
node/7056202793	Commisariat 30è Art.	5.373559	-3.984363
node/7056202794	Côte d'Ivoire Télécom / Puissance 6	5.387879	-3.987206
node/7056202795	Carrefour Rose Hermine	5.395469	-3.986292
node/7056202797	Termunis 81/82	5.402872	-3.985399
node/7056277272	Treichvile Gare de Bassam	5.298150	-4.003120
node/7056277274	Gare bateau-bus	5.308993	-4.016906
node/7056277275	Gare bateau-bus	5.309197	-4.016689
node/7056277277	Treichvile Gare de Bassam	5.298314	-4.003910
node/7056562833	Cissé 1er	5.381119	-4.023709
node/7056562834	Préfecture de police d'Abidjan	5.385057	-4.021681
node/7056562835	Express	5.399991	-4.020435
node/7056562836	Plaque Anador	5.406860	-4.016686
node/7056562837	Anador	5.409070	-4.016244
node/7056562838	Abobo Gare	5.421160	-4.018261
node/7056562842	Anador	5.409398	-4.016008
node/7056562843	Garage Machine	5.401778	-4.019306
node/7056562844	Cissé 2ème	5.381188	-4.023425
node/7056562845	Guiness	5.369440	-4.029152
node/7056730266	Carrefour Lokoa	5.319233	-4.099730
node/7056730270	Pharmacie Niangon Nord	5.329126	-4.102452
node/7056730280	Au Score	5.339531	-4.075144
node/7056730281	Marche de Sicogi	5.339532	-4.077858
node/7057184309	Sous-Prefecture de Bingerville	5.357639	-3.890590
node/7057184310	Station Texaco	5.361245	-3.894488
node/7057184311	CIE	5.360128	-3.898088
node/7057184312	Coup de Frein	5.371534	-3.910861
node/7057184313	Feh Kessé	5.374017	-3.911986
node/7057184314	Panneau Orange	5.374326	-3.921498
node/7057184315	Jules Verne	5.374031	-3.923258
node/7057184316	Nouveau Goudron	5.372434	-3.929521
node/7057184317	Playce Palmeraie	5.371751	-3.932123
node/7057184319	Après barrage	5.361458	-3.958509
node/7057928795	Pharmacie Paloma	5.355965	-4.068483
node/7057928797	Garage Massa	5.357507	-4.052610
node/7058050530	SOCOCE 2 Pltx	5.373590	-3.998539
node/7058310541	Adjamé Mairie-Dallas	5.341468	-4.025658
node/7058310543	Adjamé Liberté	5.354004	-4.016610
node/7060277170	Warren Palmeraie	5.360347	-3.961867
node/7060277171	Pharmacie Rosiers	5.380575	-3.964395
node/7060277172	Termunis des Rosiers	5.380872	-3.964685
